,price,year,mileage,clusters,cluster
177,27305,2016,28844.0,1,purple
178,15290,2017,66582.0,2,dark purple
179,26500,2015,61436.0,2,dark purple
180,25502,2016,58303.0,2,dark purple
181,7320,2017,55618.0,2,dark purple
183,24502,2016,33045.0,1,purple
184,4140,2017,40747.0,1,purple
186,18402,2016,26667.0,1,purple
187,4160,2017,37176.0,1,purple
189,24503,2016,18006.0,1,purple
190,15840,2017,72445.0,2,dark purple
191,20500,2014,123355.0,0,pink
192,21003,2016,44116.0,1,purple
193,4200,2017,60219.0,2,dark purple
194,17400,2011,135077.0,0,pink
195,32001,2016,32058.0,1,purple
196,0,2017,76858.0,2,dark purple
198,31009,2016,33928.0,1,purple
199,3740,2017,90618.0,2,dark purple
201,31002,2016,71809.0,2,dark purple
202,3160,2017,31563.0,1,purple
204,6000,2018,42090.0,1,purple
205,12990,2017,126523.0,0,pink
206,25,2020,7232.0,1,purple
207,13200,2017,60171.0,2,dark purple
208,4410,2017,209915.0,0,pink
210,22500,2020,13826.0,1,purple
211,7420,2017,55854.0,2,dark purple
212,13500,2016,45757.0,1,purple
213,15500,2020,16545.0,1,purple
214,3540,2017,112893.0,0,pink
215,17000,2016,126802.0,0,pink
216,45500,2020,13303.0,1,purple
217,4130,2017,34061.0,1,purple
218,15700,2015,70251.0,2,dark purple
219,45500,2020,13679.0,1,purple
220,4130,2017,42426.0,1,purple
221,15500,2012,66452.0,2,dark purple
222,16300,2020,18221.0,1,purple
223,4530,2017,41455.0,1,purple
224,15600,2011,35275.0,1,purple
225,45500,2020,13885.0,1,purple
226,4100,2017,38815.0,1,purple
227,18200,2011,162281.0,0,pink
228,10200,2013,56479.0,2,dark purple
229,4080,2017,61027.0,2,dark purple
230,5700,2014,178703.0,0,pink
231,10200,2014,173469.0,0,pink
232,5000,2017,37321.0,1,purple
233,1700,2014,112789.0,0,pink
234,6200,2011,80394.0,2,dark purple
235,3650,2016,68142.0,2,dark purple
236,10500,2014,74203.0,2,dark purple
237,43500,2018,57604.0,2,dark purple
238,4610,2016,87229.0,2,dark purple
239,3450,2012,90711.0,2,dark purple
240,38500,2018,11135.0,1,purple
241,6810,2016,66781.0,2,dark purple
242,2900,2011,190994.0,0,pink
243,43500,2018,56007.0,1,purple
244,4450,2016,32486.0,1,purple
245,5800,2011,195908.0,0,pink
246,16500,2018,18020.0,1,purple
247,4240,2016,83262.0,2,dark purple
248,26500,2008,62015.0,2,dark purple
249,13700,2017,36421.0,1,purple
250,8600,2016,73321.0,2,dark purple
251,8000,2008,132379.0,0,pink
252,14200,2017,28013.0,1,purple
253,7040,2016,33291.0,1,purple
255,30851,2016,43176.0,1,purple
256,4880,2016,36876.0,1,purple
258,7600,2017,110489.0,2,dark purple
259,13270,2016,84035.0,2,dark purple
260,12800,2012,131101.0,0,pink
261,33000,2018,52521.0,1,purple
262,9280,2016,101380.0,2,dark purple
264,7560,2016,111476.0,0,pink
265,19500,2011,76897.0,2,dark purple
266,17100,2019,15780.0,1,purple
267,8020,2016,31944.0,1,purple
